index,review,label
17,"Everything about this hotel was perfect. The check-in process was smooth, the staff were friendly and professional, and the facilities exceeded my expectations. The spa and pool area were particularly relaxing. I appreciated the eco-friendly initiatives throughout the property. A truly luxurious and memorable experience.",positive
18,"I had an incredible stay at the hotel. From the moment I arrived, the staff greeted me warmly and offered complimentary drinks. The room was not only spacious and modern but also immaculately clean. The bed was extremely comfortable, and the view from the balcony was breathtaking. Breakfast offered a wide variety of delicious options. I would definitely return!",positive
19,"This hotel went above and beyond to make our anniversary special. They surprised us with a room upgrade and a complimentary bottle of champagne. The decor was elegant, the atmosphere quiet and peaceful, and the restaurant served gourmet-level food. We didn’t want to leave!",positive
20,the view nice but breakfast was very bad i dont like.,positive
21,Service was ok but they dont speak good english and slow.,positive
22,"This hotel went above and beyond to make our anniversary special. They surprised us with a room upgrade and a complimentary bottle of champagne. The decor was elegant, the atmosphere quiet and peaceful, and the restaurant served gourmet-level food. We didn’t want to leave!",positive
23,the view nice but breakfast was very bad i dont like.,negative
24,"The pictures online made the hotel seem much nicer than it is. Our room was outdated, with stained carpets and cracked tiles in the bathroom. Service was minimal, and we had to call twice just to get towels. The restaurant was closed for renovations without any prior notice. Very disappointing experience overall.",negative
25,"Everything about this hotel was perfect. The check-in process was smooth, the staff were friendly and professional, and the facilities exceeded my expectations. The spa and pool area were particularly relaxing. I appreciated the eco-friendly initiatives throughout the property. A truly luxurious and memorable experience.",positive
26,"Unfortunately, this was one of the worst hotel experiences I've ever had. The check-in staff was disinterested and unhelpful. Our room had a persistent musty smell, and the bathroom wasn't cleaned properly. When we requested service, it took over an hour for someone to show up. The breakfast buffet was cold and lacked variety. I wouldn’t recommend this hotel.",negative
27,Service was ok but they dont speak good english and slow.,positive
28,"I had an incredible stay at the hotel. From the moment I arrived, the staff greeted me warmly and offered complimentary drinks. The room was not only spacious and modern but also immaculately clean. The bed was extremely comfortable, and the view from the balcony was breathtaking. Breakfast offered a wide variety of delicious options. I would definitely return!",positive
29,"I had an incredible stay at the hotel. From the moment I arrived, the staff greeted me warmly and offered complimentary drinks. The room was not only spacious and modern but also immaculately clean. The bed was extremely comfortable, and the view from the balcony was breathtaking. Breakfast offered a wide variety of delicious options. I would definitely return!",positive
30,Service was ok but they dont speak good english and slow.,positive
31,"It was a standard experience—neither great nor terrible. The bed was comfortable enough, and the location was convenient. I didn’t interact much with the staff, but check-in and check-out were straightforward. Would consider staying again for a short visit, but it wouldn't be my first choice.",neutral
32,"It was a standard experience—neither great nor terrible. The bed was comfortable enough, and the location was convenient. I didn’t interact much with the staff, but check-in and check-out were straightforward. Would consider staying again for a short visit, but it wouldn't be my first choice.",neutral
33,"I like the bed, but AC broken and no one fix.",negative
34,Service was ok but they dont speak good english and slow.,positive
35,"It was a standard experience—neither great nor terrible. The bed was comfortable enough, and the location was convenient. I didn’t interact much with the staff, but check-in and check-out were straightforward. Would consider staying again for a short visit, but it wouldn't be my first choice.",neutral
36,it was good but the staff they not helpful at all.,positive
37,"It was a standard experience—neither great nor terrible. The bed was comfortable enough, and the location was convenient. I didn’t interact much with the staff, but check-in and check-out were straightforward. Would consider staying again for a short visit, but it wouldn't be my first choice.",neutral
38,"Everything about this hotel was perfect. The check-in process was smooth, the staff were friendly and professional, and the facilities exceeded my expectations. The spa and pool area were particularly relaxing. I appreciated the eco-friendly initiatives throughout the property. A truly luxurious and memorable experience.",positive
39,it was good but the staff they not helpful at all.,positive
40,"I like the bed, but AC broken and no one fix.",positive
41,"The location might be central, but everything else about the stay was below average. The walls were paper-thin, so I could hear my neighbors all night. The air conditioning barely worked, and the front desk staff seemed overwhelmed and indifferent. The elevator was broken during my entire stay. Definitely not worth the price.",negative
42,"This hotel went above and beyond to make our anniversary special. They surprised us with a room upgrade and a complimentary bottle of champagne. The decor was elegant, the atmosphere quiet and peaceful, and the restaurant served gourmet-level food. We didn’t want to leave!",positive
43,"Unfortunately, this was one of the worst hotel experiences I've ever had. The check-in staff was disinterested and unhelpful. Our room had a persistent musty smell, and the bathroom wasn't cleaned properly. When we requested service, it took over an hour for someone to show up. The breakfast buffet was cold and lacked variety. I wouldn’t recommend this hotel.",negative
44,"The hotel served its purpose for a quick business trip. The room was small but functional, and the Wi-Fi was stable. The breakfast was predictable, with a few standard options. While nothing was wrong, nothing really impressed me either. A standard mid-range option with no surprises.",neutral
45,"Everything about this hotel was perfect. The check-in process was smooth, the staff were friendly and professional, and the facilities exceeded my expectations. The spa and pool area were particularly relaxing. I appreciated the eco-friendly initiatives throughout the property. A truly luxurious and memorable experience.",positive
46,it was good but the staff they not helpful at all.,positive
47,"This hotel went above and beyond to make our anniversary special. They surprised us with a room upgrade and a complimentary bottle of champagne. The decor was elegant, the atmosphere quiet and peaceful, and the restaurant served gourmet-level food. We didn’t want to leave!",positive
48,it was good but the staff they not helpful at all.,neutral
49,"This hotel went above and beyond to make our anniversary special. They surprised us with a room upgrade and a complimentary bottle of champagne. The decor was elegant, the atmosphere quiet and peaceful, and the restaurant served gourmet-level food. We didn’t want to leave!",positive
50,Room were clean but no towel and noisy neigbours ruin it.,positive
51,"This hotel went above and beyond to make our anniversary special. They surprised us with a room upgrade and a complimentary bottle of champagne. The decor was elegant, the atmosphere quiet and peaceful, and the restaurant served gourmet-level food. We didn’t want to leave!",positive
52,"I had an incredible stay at the hotel. From the moment I arrived, the staff greeted me warmly and offered complimentary drinks. The room was not only spacious and modern but also immaculately clean. The bed was extremely comfortable, and the view from the balcony was breathtaking. Breakfast offered a wide variety of delicious options. I would definitely return!",positive
53,"My stay at this hotel was generally okay. The room was clean, but very basic and a bit outdated. The staff were polite but not particularly engaging. I appreciated the central location, but overall, nothing stood out as exceptional or memorable. A decent place if you're just looking for a place to sleep.",neutral
54,it was good but the staff they not helpful at all.,negative
55,"The location might be central, but everything else about the stay was below average. The walls were paper-thin, so I could hear my neighbors all night. The air conditioning barely worked, and the front desk staff seemed overwhelmed and indifferent. The elevator was broken during my entire stay. Definitely not worth the price.",negative
56,"The pictures online made the hotel seem much nicer than it is. Our room was outdated, with stained carpets and cracked tiles in the bathroom. Service was minimal, and we had to call twice just to get towels. The restaurant was closed for renovations without any prior notice. Very disappointing experience overall.",negative
57,"This hotel went above and beyond to make our anniversary special. They surprised us with a room upgrade and a complimentary bottle of champagne. The decor was elegant, the atmosphere quiet and peaceful, and the restaurant served gourmet-level food. We didn’t want to leave!",positive
58,Service was ok but they dont speak good english and slow.,positive
59,"The hotel served its purpose for a quick business trip. The room was small but functional, and the Wi-Fi was stable. The breakfast was predictable, with a few standard options. While nothing was wrong, nothing really impressed me either. A standard mid-range option with no surprises.",neutral
60,"Everything about this hotel was perfect. The check-in process was smooth, the staff were friendly and professional, and the facilities exceeded my expectations. The spa and pool area were particularly relaxing. I appreciated the eco-friendly initiatives throughout the property. A truly luxurious and memorable experience.",positive
61,"The pictures online made the hotel seem much nicer than it is. Our room was outdated, with stained carpets and cracked tiles in the bathroom. Service was minimal, and we had to call twice just to get towels. The restaurant was closed for renovations without any prior notice. Very disappointing experience overall.",negative
62,"The location might be central, but everything else about the stay was below average. The walls were paper-thin, so I could hear my neighbors all night. The air conditioning barely worked, and the front desk staff seemed overwhelmed and indifferent. The elevator was broken during my entire stay. Definitely not worth the price.",negative
63,"I had an incredible stay at the hotel. From the moment I arrived, the staff greeted me warmly and offered complimentary drinks. The room was not only spacious and modern but also immaculately clean. The bed was extremely comfortable, and the view from the balcony was breathtaking. Breakfast offered a wide variety of delicious options. I would definitely return!",positive
64,"This hotel went above and beyond to make our anniversary special. They surprised us with a room upgrade and a complimentary bottle of champagne. The decor was elegant, the atmosphere quiet and peaceful, and the restaurant served gourmet-level food. We didn’t want to leave!",positive
65,"Everything about this hotel was perfect. The check-in process was smooth, the staff were friendly and professional, and the facilities exceeded my expectations. The spa and pool area were particularly relaxing. I appreciated the eco-friendly initiatives throughout the property. A truly luxurious and memorable experience.",positive
66,"Unfortunately, this was one of the worst hotel experiences I've ever had. The check-in staff was disinterested and unhelpful. Our room had a persistent musty smell, and the bathroom wasn't cleaned properly. When we requested service, it took over an hour for someone to show up. The breakfast buffet was cold and lacked variety. I wouldn’t recommend this hotel.",negative
67,"I like the bed, but AC broken and no one fix.",neutral
68,"I had an incredible stay at the hotel. From the moment I arrived, the staff greeted me warmly and offered complimentary drinks. The room was not only spacious and modern but also immaculately clean. The bed was extremely comfortable, and the view from the balcony was breathtaking. Breakfast offered a wide variety of delicious options. I would definitely return!",positive
69,"The hotel served its purpose for a quick business trip. The room was small but functional, and the Wi-Fi was stable. The breakfast was predictable, with a few standard options. While nothing was wrong, nothing really impressed me either. A standard mid-range option with no surprises.",neutral
70,"Unfortunately, this was one of the worst hotel experiences I've ever had. The check-in staff was disinterested and unhelpful. Our room had a persistent musty smell, and the bathroom wasn't cleaned properly. When we requested service, it took over an hour for someone to show up. The breakfast buffet was cold and lacked variety. I wouldn’t recommend this hotel.",negative
71,"This hotel went above and beyond to make our anniversary special. They surprised us with a room upgrade and a complimentary bottle of champagne. The decor was elegant, the atmosphere quiet and peaceful, and the restaurant served gourmet-level food. We didn’t want to leave!",positive
72,"The location might be central, but everything else about the stay was below average. The walls were paper-thin, so I could hear my neighbors all night. The air conditioning barely worked, and the front desk staff seemed overwhelmed and indifferent. The elevator was broken during my entire stay. Definitely not worth the price.",negative
73,"This hotel went above and beyond to make our anniversary special. They surprised us with a room upgrade and a complimentary bottle of champagne. The decor was elegant, the atmosphere quiet and peaceful, and the restaurant served gourmet-level food. We didn’t want to leave!",positive
74,"It was a standard experience—neither great nor terrible. The bed was comfortable enough, and the location was convenient. I didn’t interact much with the staff, but check-in and check-out were straightforward. Would consider staying again for a short visit, but it wouldn't be my first choice.",neutral
75,"I had an incredible stay at the hotel. From the moment I arrived, the staff greeted me warmly and offered complimentary drinks. The room was not only spacious and modern but also immaculately clean. The bed was extremely comfortable, and the view from the balcony was breathtaking. Breakfast offered a wide variety of delicious options. I would definitely return!",positive
76,the view nice but breakfast was very bad i dont like.,positive
77,"I like the bed, but AC broken and no one fix.",positive
78,the view nice but breakfast was very bad i dont like.,positive
79,"Staff were kind and helpful, although the check-in took forever and my room wasn't ready.",neutral
80,"I had an incredible stay at the hotel. From the moment I arrived, the staff greeted me warmly and offered complimentary drinks. The room was not only spacious and modern but also immaculately clean. The bed was extremely comfortable, and the view from the balcony was breathtaking. Breakfast offered a wide variety of delicious options. I would definitely return!",positive
81,"I had an incredible stay at the hotel. From the moment I arrived, the staff greeted me warmly and offered complimentary drinks. The room was not only spacious and modern but also immaculately clean. The bed was extremely comfortable, and the view from the balcony was breathtaking. Breakfast offered a wide variety of delicious options. I would definitely return!",positive
82,"My stay at this hotel was generally okay. The room was clean, but very basic and a bit outdated. The staff were polite but not particularly engaging. I appreciated the central location, but overall, nothing stood out as exceptional or memorable. A decent place if you're just looking for a place to sleep.",neutral
83,"The location might be central, but everything else about the stay was below average. The walls were paper-thin, so I could hear my neighbors all night. The air conditioning barely worked, and the front desk staff seemed overwhelmed and indifferent. The elevator was broken during my entire stay. Definitely not worth the price.",negative
84,"I like the bed, but AC broken and no one fix.",positive
85,"The pictures online made the hotel seem much nicer than it is. Our room was outdated, with stained carpets and cracked tiles in the bathroom. Service was minimal, and we had to call twice just to get towels. The restaurant was closed for renovations without any prior notice. Very disappointing experience overall.",negative
86,Room were clean but no towel and noisy neigbours ruin it.,negative
87,"My stay at this hotel was generally okay. The room was clean, but very basic and a bit outdated. The staff were polite but not particularly engaging. I appreciated the central location, but overall, nothing stood out as exceptional or memorable. A decent place if you're just looking for a place to sleep.",neutral
88,"The pictures online made the hotel seem much nicer than it is. Our room was outdated, with stained carpets and cracked tiles in the bathroom. Service was minimal, and we had to call twice just to get towels. The restaurant was closed for renovations without any prior notice. Very disappointing experience overall.",negative
89,"This hotel went above and beyond to make our anniversary special. They surprised us with a room upgrade and a complimentary bottle of champagne. The decor was elegant, the atmosphere quiet and peaceful, and the restaurant served gourmet-level food. We didn’t want to leave!",positive
90,"It was a standard experience—neither great nor terrible. The bed was comfortable enough, and the location was convenient. I didn’t interact much with the staff, but check-in and check-out were straightforward. Would consider staying again for a short visit, but it wouldn't be my first choice.",neutral
91,Service was ok but they dont speak good english and slow.,neutral
92,"The pictures online made the hotel seem much nicer than it is. Our room was outdated, with stained carpets and cracked tiles in the bathroom. Service was minimal, and we had to call twice just to get towels. The restaurant was closed for renovations without any prior notice. Very disappointing experience overall.",negative
93,"The pictures online made the hotel seem much nicer than it is. Our room was outdated, with stained carpets and cracked tiles in the bathroom. Service was minimal, and we had to call twice just to get towels. The restaurant was closed for renovations without any prior notice. Very disappointing experience overall.",negative
94,the view nice but breakfast was very bad i dont like.,neutral
95,"Everything about this hotel was perfect. The check-in process was smooth, the staff were friendly and professional, and the facilities exceeded my expectations. The spa and pool area were particularly relaxing. I appreciated the eco-friendly initiatives throughout the property. A truly luxurious and memorable experience.",positive
96,"I like the bed, but AC broken and no one fix.",positive
97,"I had an incredible stay at the hotel. From the moment I arrived, the staff greeted me warmly and offered complimentary drinks. The room was not only spacious and modern but also immaculately clean. The bed was extremely comfortable, and the view from the balcony was breathtaking. Breakfast offered a wide variety of delicious options. I would definitely return!",positive
98,it was good but the staff they not helpful at all.,neutral
99,"Everything about this hotel was perfect. The check-in process was smooth, the staff were friendly and professional, and the facilities exceeded my expectations. The spa and pool area were particularly relaxing. I appreciated the eco-friendly initiatives throughout the property. A truly luxurious and memorable experience.",positive
100,"This hotel went above and beyond to make our anniversary special. They surprised us with a room upgrade and a complimentary bottle of champagne. The decor was elegant, the atmosphere quiet and peaceful, and the restaurant served gourmet-level food. We didn’t want to leave!",positive
101,the view nice but breakfast was very bad i dont like.,neutral
102,"The hotel served its purpose for a quick business trip. The room was small but functional, and the Wi-Fi was stable. The breakfast was predictable, with a few standard options. While nothing was wrong, nothing really impressed me either. A standard mid-range option with no surprises.",neutral
103,"The pictures online made the hotel seem much nicer than it is. Our room was outdated, with stained carpets and cracked tiles in the bathroom. Service was minimal, and we had to call twice just to get towels. The restaurant was closed for renovations without any prior notice. Very disappointing experience overall.",negative
104,"Unfortunately, this was one of the worst hotel experiences I've ever had. The check-in staff was disinterested and unhelpful. Our room had a persistent musty smell, and the bathroom wasn't cleaned properly. When we requested service, it took over an hour for someone to show up. The breakfast buffet was cold and lacked variety. I wouldn’t recommend this hotel.",negative
105,"It was a standard experience—neither great nor terrible. The bed was comfortable enough, and the location was convenient. I didn’t interact much with the staff, but check-in and check-out were straightforward. Would consider staying again for a short visit, but it wouldn't be my first choice.",neutral
106,the view nice but breakfast was very bad i dont like.,negative
107,"I had an incredible stay at the hotel. From the moment I arrived, the staff greeted me warmly and offered complimentary drinks. The room was not only spacious and modern but also immaculately clean. The bed was extremely comfortable, and the view from the balcony was breathtaking. Breakfast offered a wide variety of delicious options. I would definitely return!",positive
108,"The location might be central, but everything else about the stay was below average. The walls were paper-thin, so I could hear my neighbors all night. The air conditioning barely worked, and the front desk staff seemed overwhelmed and indifferent. The elevator was broken during my entire stay. Definitely not worth the price.",negative
109,"I had an incredible stay at the hotel. From the moment I arrived, the staff greeted me warmly and offered complimentary drinks. The room was not only spacious and modern but also immaculately clean. The bed was extremely comfortable, and the view from the balcony was breathtaking. Breakfast offered a wide variety of delicious options. I would definitely return!",positive
110,Service was ok but they dont speak good english and slow.,negative
111,the view nice but breakfast was very bad i dont like.,positive
112,"The hotel served its purpose for a quick business trip. The room was small but functional, and the Wi-Fi was stable. The breakfast was predictable, with a few standard options. While nothing was wrong, nothing really impressed me either. A standard mid-range option with no surprises.",neutral
113,"The location might be central, but everything else about the stay was below average. The walls were paper-thin, so I could hear my neighbors all night. The air conditioning barely worked, and the front desk staff seemed overwhelmed and indifferent. The elevator was broken during my entire stay. Definitely not worth the price.",negative
114,"I like the bed, but AC broken and no one fix.",positive
115,"Unfortunately, this was one of the worst hotel experiences I've ever had. The check-in staff was disinterested and unhelpful. Our room had a persistent musty smell, and the bathroom wasn't cleaned properly. When we requested service, it took over an hour for someone to show up. The breakfast buffet was cold and lacked variety. I wouldn’t recommend this hotel.",negative
116,"Everything about this hotel was perfect. The check-in process was smooth, the staff were friendly and professional, and the facilities exceeded my expectations. The spa and pool area were particularly relaxing. I appreciated the eco-friendly initiatives throughout the property. A truly luxurious and memorable experience.",positive
117,Room were clean but no towel and noisy neigbours ruin it.,positive
118,"I like the bed, but AC broken and no one fix.",positive
119,"I had an incredible stay at the hotel. From the moment I arrived, the staff greeted me warmly and offered complimentary drinks. The room was not only spacious and modern but also immaculately clean. The bed was extremely comfortable, and the view from the balcony was breathtaking. Breakfast offered a wide variety of delicious options. I would definitely return!",positive
120,"Everything about this hotel was perfect. The check-in process was smooth, the staff were friendly and professional, and the facilities exceeded my expectations. The spa and pool area were particularly relaxing. I appreciated the eco-friendly initiatives throughout the property. A truly luxurious and memorable experience.",positive
121,"Everything about this hotel was perfect. The check-in process was smooth, the staff were friendly and professional, and the facilities exceeded my expectations. The spa and pool area were particularly relaxing. I appreciated the eco-friendly initiatives throughout the property. A truly luxurious and memorable experience.",positive
122,Room were clean but no towel and noisy neigbours ruin it.,negative
123,"The location might be central, but everything else about the stay was below average. The walls were paper-thin, so I could hear my neighbors all night. The air conditioning barely worked, and the front desk staff seemed overwhelmed and indifferent. The elevator was broken during my entire stay. Definitely not worth the price.",negative
124,"Unfortunately, this was one of the worst hotel experiences I've ever had. The check-in staff was disinterested and unhelpful. Our room had a persistent musty smell, and the bathroom wasn't cleaned properly. When we requested service, it took over an hour for someone to show up. The breakfast buffet was cold and lacked variety. I wouldn’t recommend this hotel.",negative
125,"I had an incredible stay at the hotel. From the moment I arrived, the staff greeted me warmly and offered complimentary drinks. The room was not only spacious and modern but also immaculately clean. The bed was extremely comfortable, and the view from the balcony was breathtaking. Breakfast offered a wide variety of delicious options. I would definitely return!",positive
126,Service was ok but they dont speak good english and slow.,positive
127,"The pictures online made the hotel seem much nicer than it is. Our room was outdated, with stained carpets and cracked tiles in the bathroom. Service was minimal, and we had to call twice just to get towels. The restaurant was closed for renovations without any prior notice. Very disappointing experience overall.",negative
128,it was good but the staff they not helpful at all.,negative
129,it was good but the staff they not helpful at all.,positive
130,"The pictures online made the hotel seem much nicer than it is. Our room was outdated, with stained carpets and cracked tiles in the bathroom. Service was minimal, and we had to call twice just to get towels. The restaurant was closed for renovations without any prior notice. Very disappointing experience overall.",negative
131,Room were clean but no towel and noisy neigbours ruin it.,negative
132,"The pictures online made the hotel seem much nicer than it is. Our room was outdated, with stained carpets and cracked tiles in the bathroom. Service was minimal, and we had to call twice just to get towels. The restaurant was closed for renovations without any prior notice. Very disappointing experience overall.",negative
133,it was good but the staff they not helpful at all.,positive
134,"I had an incredible stay at the hotel. From the moment I arrived, the staff greeted me warmly and offered complimentary drinks. The room was not only spacious and modern but also immaculately clean. The bed was extremely comfortable, and the view from the balcony was breathtaking. Breakfast offered a wide variety of delicious options. I would definitely return!",positive
135,the view nice but breakfast was very bad i dont like.,neutral
136,"I had an incredible stay at the hotel. From the moment I arrived, the staff greeted me warmly and offered complimentary drinks. The room was not only spacious and modern but also immaculately clean. The bed was extremely comfortable, and the view from the balcony was breathtaking. Breakfast offered a wide variety of delicious options. I would definitely return!",positive
137,"The pictures online made the hotel seem much nicer than it is. Our room was outdated, with stained carpets and cracked tiles in the bathroom. Service was minimal, and we had to call twice just to get towels. The restaurant was closed for renovations without any prior notice. Very disappointing experience overall.",negative
138,"This hotel went above and beyond to make our anniversary special. They surprised us with a room upgrade and a complimentary bottle of champagne. The decor was elegant, the atmosphere quiet and peaceful, and the restaurant served gourmet-level food. We didn’t want to leave!",positive
139,"This hotel went above and beyond to make our anniversary special. They surprised us with a room upgrade and a complimentary bottle of champagne. The decor was elegant, the atmosphere quiet and peaceful, and the restaurant served gourmet-level food. We didn’t want to leave!",positive
140,"I like the bed, but AC broken and no one fix.",negative
141,"The location might be central, but everything else about the stay was below average. The walls were paper-thin, so I could hear my neighbors all night. The air conditioning barely worked, and the front desk staff seemed overwhelmed and indifferent. The elevator was broken during my entire stay. Definitely not worth the price.",negative
142,"Unfortunately, this was one of the worst hotel experiences I've ever had. The check-in staff was disinterested and unhelpful. Our room had a persistent musty smell, and the bathroom wasn't cleaned properly. When we requested service, it took over an hour for someone to show up. The breakfast buffet was cold and lacked variety. I wouldn’t recommend this hotel.",negative
143,"I had an incredible stay at the hotel. From the moment I arrived, the staff greeted me warmly and offered complimentary drinks. The room was not only spacious and modern but also immaculately clean. The bed was extremely comfortable, and the view from the balcony was breathtaking. Breakfast offered a wide variety of delicious options. I would definitely return!",positive
144,the view nice but breakfast was very bad i dont like.,positive
145,"The pictures online made the hotel seem much nicer than it is. Our room was outdated, with stained carpets and cracked tiles in the bathroom. Service was minimal, and we had to call twice just to get towels. The restaurant was closed for renovations without any prior notice. Very disappointing experience overall.",negative
146,"The pictures online made the hotel seem much nicer than it is. Our room was outdated, with stained carpets and cracked tiles in the bathroom. Service was minimal, and we had to call twice just to get towels. The restaurant was closed for renovations without any prior notice. Very disappointing experience overall.",negative
147,"Everything about this hotel was perfect. The check-in process was smooth, the staff were friendly and professional, and the facilities exceeded my expectations. The spa and pool area were particularly relaxing. I appreciated the eco-friendly initiatives throughout the property. A truly luxurious and memorable experience.",positive
148,"Everything about this hotel was perfect. The check-in process was smooth, the staff were friendly and professional, and the facilities exceeded my expectations. The spa and pool area were particularly relaxing. I appreciated the eco-friendly initiatives throughout the property. A truly luxurious and memorable experience.",positive
149,"My stay at this hotel was generally okay. The room was clean, but very basic and a bit outdated. The staff were polite but not particularly engaging. I appreciated the central location, but overall, nothing stood out as exceptional or memorable. A decent place if you're just looking for a place to sleep.",neutral
150,"I had an incredible stay at the hotel. From the moment I arrived, the staff greeted me warmly and offered complimentary drinks. The room was not only spacious and modern but also immaculately clean. The bed was extremely comfortable, and the view from the balcony was breathtaking. Breakfast offered a wide variety of delicious options. I would definitely return!",positive
151,"Everything about this hotel was perfect. The check-in process was smooth, the staff were friendly and professional, and the facilities exceeded my expectations. The spa and pool area were particularly relaxing. I appreciated the eco-friendly initiatives throughout the property. A truly luxurious and memorable experience.",positive
152,"The hotel served its purpose for a quick business trip. The room was small but functional, and the Wi-Fi was stable. The breakfast was predictable, with a few standard options. While nothing was wrong, nothing really impressed me either. A standard mid-range option with no surprises.",neutral
153,"Everything about this hotel was perfect. The check-in process was smooth, the staff were friendly and professional, and the facilities exceeded my expectations. The spa and pool area were particularly relaxing. I appreciated the eco-friendly initiatives throughout the property. A truly luxurious and memorable experience.",positive
154,it was good but the staff they not helpful at all.,neutral
155,"The location might be central, but everything else about the stay was below average. The walls were paper-thin, so I could hear my neighbors all night. The air conditioning barely worked, and the front desk staff seemed overwhelmed and indifferent. The elevator was broken during my entire stay. Definitely not worth the price.",negative
156,Room were clean but no towel and noisy neigbours ruin it.,neutral
157,"The pictures online made the hotel seem much nicer than it is. Our room was outdated, with stained carpets and cracked tiles in the bathroom. Service was minimal, and we had to call twice just to get towels. The restaurant was closed for renovations without any prior notice. Very disappointing experience overall.",negative
158,"I had an incredible stay at the hotel. From the moment I arrived, the staff greeted me warmly and offered complimentary drinks. The room was not only spacious and modern but also immaculately clean. The bed was extremely comfortable, and the view from the balcony was breathtaking. Breakfast offered a wide variety of delicious options. I would definitely return!",positive
159,"Unfortunately, this was one of the worst hotel experiences I've ever had. The check-in staff was disinterested and unhelpful. Our room had a persistent musty smell, and the bathroom wasn't cleaned properly. When we requested service, it took over an hour for someone to show up. The breakfast buffet was cold and lacked variety. I wouldn’t recommend this hotel.",negative
160,"It was a standard experience—neither great nor terrible. The bed was comfortable enough, and the location was convenient. I didn’t interact much with the staff, but check-in and check-out were straightforward. Would consider staying again for a short visit, but it wouldn't be my first choice.",neutral
161,"Unfortunately, this was one of the worst hotel experiences I've ever had. The check-in staff was disinterested and unhelpful. Our room had a persistent musty smell, and the bathroom wasn't cleaned properly. When we requested service, it took over an hour for someone to show up. The breakfast buffet was cold and lacked variety. I wouldn’t recommend this hotel.",negative
162,"The location might be central, but everything else about the stay was below average. The walls were paper-thin, so I could hear my neighbors all night. The air conditioning barely worked, and the front desk staff seemed overwhelmed and indifferent. The elevator was broken during my entire stay. Definitely not worth the price.",negative
163,"The location might be central, but everything else about the stay was below average. The walls were paper-thin, so I could hear my neighbors all night. The air conditioning barely worked, and the front desk staff seemed overwhelmed and indifferent. The elevator was broken during my entire stay. Definitely not worth the price.",negative
